Date,Category,Amount,Payment Method
2024-04-12,Food,3050,Cash
2024-06-28,Bills,4231,Card
2024-04-02,Food,4880,UPI
2024-01-15,Rent,4215,UPI
2024-04-16,Food,2468,Cash
2024-03-12,Travel,3947,Card
2024-07-07,Bills,4595,UPI
2024-01-21,Bills,2801,UPI
2024-04-12,Rent,1071,Card
2024-05-01,Travel,1266,Card
2024-03-15,Shopping,2874,UPI
2024-03-28,Food,2082,UPI
2024-04-26,Entertainment,953,Card
2024-04-09,Food,4246,UPI
2024-04-13,Food,3836,Cash
2024-05-31,Shopping,3869,Cash
2024-05-10,Food,674,Card
2024-05-29,Travel,3361,Card
2024-02-22,Travel,1248,Card
2024-01-02,Bills,1815,Cash
2024-03-28,Rent,4877,UPI
2024-06-06,Entertainment,3954,Cash
2024-02-07,Food,2591,UPI
2024-05-09,Food,2760,Cash
2024-07-10,Shopping,3224,UPI
2024-07-06,Rent,3151,Cash
2024-01-21,Travel,104,Card
2024-06-09,Entertainment,4969,Cash
2024-02-27,Bills,976,UPI
2024-01-22,Travel,1091,Cash
2024-03-29,Rent,4242,Cash
2024-02-18,Bills,4464,Cash
2024-02-28,Shopping,4565,Card
2024-06-18,Shopping,735,Cash
2024-07-06,Food,1793,Card
2024-01-15,Rent,1782,Card
2024-07-08,Entertainment,4852,Cash
2024-07-08,Bills,219,Cash
2024-06-23,Travel,930,Cash
2024-07-08,Rent,3775,UPI
2024-02-20,Rent,1469,Cash
2024-04-17,Shopping,840,Card
2024-02-24,Food,216,Cash
2024-03-04,Food,2938,UPI
2024-05-10,Bills,1250,Cash
2024-02-20,Shopping,2031,UPI
2024-05-14,Rent,1112,UPI
2024-01-21,Entertainment,1764,Cash
2024-03-13,Shopping,1181,Card
2024-06-15,Bills,4829,UPI
2024-01-18,Bills,612,Cash
2024-05-11,Shopping,2949,Cash
2024-03-29,Bills,659,Card
2024-02-29,Shopping,3772,UPI
2024-01-14,Travel,4683,UPI
2024-01-09,Shopping,3443,Cash
2024-03-30,Shopping,4170,Cash
2024-02-22,Bills,4899,Card
2024-05-09,Bills,1570,Card
2024-03-24,Food,680,UPI
2024-04-01,Food,2394,UPI
2024-04-20,Travel,3247,Cash
2024-07-06,Food,4349,UPI
2024-07-17,Shopping,1779,Card
2024-06-20,Bills,3606,Card
2024-01-08,Food,2844,Cash
2024-06-23,Food,3456,Card
2024-02-04,Travel,4145,Card
2024-03-21,Rent,1343,Card
2024-06-12,Travel,3218,Card
2024-02-19,Shopping,2241,Cash
2024-04-13,Bills,3159,Cash
2024-05-11,Travel,4648,UPI
2024-01-02,Food,3059,Card
2024-05-13,Bills,2365,UPI
2024-02-23,Bills,2579,Cash
2024-04-15,Food,4746,Cash
2024-01-04,Travel,1735,Cash
2024-02-23,Food,1857,Cash
2024-07-09,Rent,4552,Cash
2024-05-25,Bills,2170,Cash
2024-02-13,Entertainment,2949,Cash
2024-06-10,Entertainment,3351,Card
2024-07-08,Shopping,3830,UPI
2024-01-14,Food,2589,Cash
2024-04-04,Food,1731,Card
2024-02-17,Shopping,2916,Card
2024-01-15,Shopping,1115,UPI
2024-07-18,Shopping,1448,Cash
2024-07-08,Bills,4711,UPI
2024-02-09,Rent,3187,Cash
2024-03-22,Food,2939,Card
2024-04-20,Bills,435,Card
2024-02-22,Shopping,4692,Card
2024-01-24,Food,995,Card
2024-06-02,Bills,3646,UPI
